H0,STREET_DEN,STREET_LEN,AVCIRUTIYT,RIO,predictedCluster,Cluster
3.41673,7487.267507,5424700,1.431523,5.744326,cluster2,cluster2
3.388577,3981.526091,2268285,1.492313,11.099131,cluster2,cluster2
2.634877,8155.827342,878244,1.396092,8.146522,cluster0,cluster0
2.766223,9099.165158,1468237,1.436719,7.667715,cluster0,cluster0
3.134779,4892.82967,1318212,1.419757,6.758086,cluster0,cluster0
2.831023,9120.224426,1987817,1.397035,7.32285,cluster0,cluster0
3.366188,3425.386207,2269967,1.425281,14.485052,cluster2,cluster2
3.269214,7205.17793,4822387,1.44508,7.129543,cluster2,cluster2
2.545251,9937.009808,1006506,1.441535,5.522758,cluster0,cluster0
2.287015,7882.261534,2485765,1.367368,6.533303,cluster0,cluster0
3.012131,7094.989108,1047255,1.465261,6.278959,cluster0,cluster0
3.077203,9520.248485,2457853,1.463527,6.265174,cluster0,cluster0
3.500982,7362.631657,2841741,1.460343,6.14804,cluster2,cluster2
3.225908,5862.96296,2443779,1.494314,6.372372,cluster2,cluster2
2.468141,5510.715848,2017782,1.377677,7.813441,cluster0,cluster0
2.37175,8685.397452,2661153,1.463175,13.788143,cluster0,cluster0
2.803616,13212.68732,4897598,1.376322,7.585437,cluster0,cluster0
3.504174,10404.009162,521341,1.407555,3.510028,cluster1,cluster1
3.023053,8026.165335,12749413,1.367787,5.559447,cluster0,cluster2
3.215419,8201.915157,8193290,1.41296,6.301372,cluster2,cluster2
2.965864,5751.415049,1659778,1.488516,5.478394,cluster0,cluster0
2.945511,6266.968656,1850121,1.404768,7.264008,cluster0,cluster0
3.290799,9178.613227,429435,1.407329,3.532642,cluster1,cluster0
3.444962,4721.292058,623116,1.471141,4.621837,cluster1,cluster1
3.546792,7424.905799,1788196,1.533058,8.576603,cluster2,cluster2
3.312836,6630.356957,1972738,1.566533,9.75748,cluster2,cluster2
2.922158,8570.103701,815750,1.508009,6.084871,cluster0,cluster0
2.627799,9397.168793,3769852,1.386775,5.333697,cluster0,cluster0
3.016229,7477.913529,1094635,1.34316,7.908298,cluster0,cluster0
3.513449,7784.810108,582882,1.488795,5.122751,cluster1,cluster1
3.532705,7774.633381,1238802,1.573285,7.219000,cluster2,cluster2
3.280614,3699.671848,8380131,1.503963,8.936995,cluster2,cluster2
3.326067,8080.904032,1668090,1.431508,5.404226,cluster0,cluster0
3.111385,11008.831503,1950848,1.382508,2.829177,cluster0,cluster0
2.291156,10008.800118,757164,1.383607,4.974894,cluster0,cluster0
3.536281,9600.64867,156502,1.45932,0.767667,cluster1,cluster1
3.394818,6848.55697,2546079,1.445987,8.616668,cluster2,cluster2
3.452245,5681.608104,1694778,1.443178,6.072166,cluster2,cluster2
2.54033,10308.753772,1475290,1.396203,3.346793,cluster0,cluster0
2.499951,9207.005415,1139815,1.405154,9.726712,cluster0,cluster0
3.200892,8121.360871,2853561,1.39566,5.797517,cluster2,cluster0
3.430059,12141.718915,636600,1.538306,3.035331,cluster0,cluster1
3.398798,7007.875946,3543558,1.454558,7.455696,cluster2,cluster2
2.955016,7755.212912,2229387,1.384269,8.487212,cluster0,cluster0
3.016038,7594.21988,4420565,1.425509,4.921894,cluster0,cluster0
3.087545,9752.35817,1182883,1.344747,4.285637,cluster0,cluster0
2.903351,8132.736775,686592,1.451605,5.916601,cluster0,cluster0
3.446886,9304.731962,461279,1.5296,3.445595,cluster1,cluster1
3.383976,7292.428524,9454665,1.406164,6.590729,cluster2,cluster2
2.024072,12550.499366,742105,1.38998,3.307623,cluster0,cluster0
3.007503,10211.195074,970879,1.319329,4.599143,cluster0,cluster0
2.969247,10054.108815,2146683,1.35316,5.726611,cluster0,cluster0
2.756978,8004.355317,743384,1.477958,5.334233,cluster0,cluster0
3.51729,13354.027828,245670,1.428698,2.101684,cluster1,cluster1
3.581415,7808.219252,6340605,1.458903,7.331273,cluster2,cluster2
3.555674,6970.281791,1714816,1.435363,2.548722,cluster2,cluster0
2.559498,9748.334303,1143188,1.418583,5.77782,cluster0,cluster0
3.401485,9952.440408,852836,1.376491,5.47497,cluster2,cluster0
2.818056,7723.843061,2061437,1.368312,10.288101,cluster0,cluster0
